Age_Group,Gender,%Cure,Survival_R,Death_Rat,Stage_of_Cancer
0-19,Male,10.42,14.26,85.74,Stage II
0-19,Female,12.34,15.62,84.38,Stage III
20-29,Male,6.18,22.84,77.16,Stage IV
20-29,Female,11.26,29.42,70.58,Stage I
30-39,Male,5.12,25.84,74.16,Stage II
30-39,Female,9.62,18.28,81.72,Stage IV
40-49,Male,10.88,21.92,78.08,Stage III
40-49,Female,8.96,17.64,82.36,Stage II
50-59,Male,7.82,9.42,90.58,Stage IV
50-59,Female,6.72,20.28,79.72,Stage III
60-69,Male,12.24,18.52,81.48,Stage III
60-69,Female,11.18,8.62,91.38,Stage IV
70-79,Male,14.26,23.42,76.58,Stage II
70-79,Female,17.42,35.82,64.18,Stage I
80+,Male,7.52,5.92,94.08,Stage IV
80+,Female,11.82,17.52,82.48,Stage II
0-19,Transgender,20.0,30.0,70.0,Stage II
20-29,Transgender,17.0,27.0,73.0,Stage III
30-39,Transgender,14.5,24.0,76.0,Stage III
40-49,Transgender,11.0,20.0,80.0,Stage IV
50-59,Transgender,8.0,16.0,84.0,Stage IV
60-69,Transgender,5.5,12.0,88.0,Stage IV
70-79,Transgender,3.5,8.5,91.5,Stage IV
80+,Transgender,2.0,5.0,95.0,Stage IV

