Age_Group,Gender,%Cure,Survival_R,Death_Rat,Stage_of_Cancer
0-19,Male,20.42,28.36,71.64,Stage II
0-19,Female,22.15,31.42,68.58,Stage III
20-29,Male,16.32,24.18,75.82,Stage IV
20-29,Female,18.46,26.85,73.15,Stage I
30-39,Male,14.72,22.42,77.58,Stage II
30-39,Female,16.58,24.85,75.15,Stage IV
40-49,Male,12.36,19.42,80.58,Stage III
40-49,Female,14.25,21.18,78.82,Stage II
50-59,Male,10.42,15.28,84.72,Stage IV
50-59,Female,12.16,18.42,81.58,Stage III
60-69,Male,8.42,12.64,87.36,Stage III
60-69,Female,9.86,14.28,85.72,Stage IV
70-79,Male,6.72,9.42,90.58,Stage II
70-79,Female,8.18,11.36,88.64,Stage I
80+,Male,5.12,7.28,92.72,Stage IV
80+,Female,6.42,9.12,90.88,Stage II
0-19,Transgender,20.0,32.0,68.0,Stage II
20-29,Transgender,17.5,28.0,72.0,Stage III
30-39,Transgender,15.0,25.0,75.0,Stage III
40-49,Transgender,12.0,21.0,79.0,Stage IV
50-59,Transgender,9.0,17.0,83.0,Stage IV
60-69,Transgender,6.5,13.0,87.0,Stage IV
70-79,Transgender,4.0,9.0,91.0,Stage IV
80+,Transgender,2.0,5.0,95.0,Stage IV

