Age_Group,Gender,%Cure,Survival_R,Death_Rat,Stage_of_Cancer
0-19,Male,18.25,25.42,74.58,Stage II
0-19,Female,20.42,28.36,71.64,Stage III
20-29,Male,15.62,22.48,77.52,Stage IV
20-29,Female,17.45,25.12,74.88,Stage I
30-39,Male,13.42,19.86,80.14,Stage II
30-39,Female,15.26,21.42,78.58,Stage IV
40-49,Male,11.28,16.72,83.28,Stage III
40-49,Female,13.14,18.64,81.36,Stage II
50-59,Male,9.62,13.85,86.15,Stage IV
50-59,Female,11.42,16.28,83.72,Stage III
60-69,Male,7.82,11.42,88.58,Stage III
60-69,Female,9.26,13.28,86.72,Stage IV
70-79,Male,6.28,8.42,91.58,Stage II
70-79,Female,7.52,10.28,89.72,Stage I
80+,Male,4.82,6.12,93.88,Stage IV
80+,Female,5.92,8.25,91.75,Stage II
0-19,Transgender,20.0,30.0,70.0,Stage II
20-29,Transgender,18.0,27.0,73.0,Stage III
30-39,Transgender,16.0,24.0,76.0,Stage III
40-49,Transgender,13.0,20.0,80.0,Stage IV
50-59,Transgender,10.0,16.0,84.0,Stage IV
60-69,Transgender,7.0,12.0,88.0,Stage IV
70-79,Transgender,4.0,8.0,92.0,Stage IV
80+,Transgender,2.0,4.0,96.0,Stage IV

