Age_Group,Gender,%Cure,Survival_R,Death_Rat,Stage_of_Cancer,Cancer_Type
    0-19,Male,65.0,75.0,25.0,Stage II,Bone Cancer
    0-19,Female,70.0,80.0,20.0,Stage II,Bone Cancer
    0-19,Transgender,95.0,98.0,2.0,Stage I,Bone Cancer
    20-29,Male,60.0,70.0,30.0,Stage II,Bone Cancer
    20-29,Female,65.0,75.0,25.0,Stage II,Bone Cancer
    20-29,Transgender,93.0,97.0,3.0,Stage I,Bone Cancer
    30-39,Male,52.0,62.0,38.0,Stage III,Bone Cancer
    30-39,Female,58.0,68.0,32.0,Stage III,Bone Cancer
    30-39,Transgender,90.0,95.0,5.0,Stage I,Bone Cancer
    40-49,Male,44.0,54.0,46.0,Stage III,Bone Cancer
    40-49,Female,50.0,60.0,40.0,Stage III,Bone Cancer
    40-49,Transgender,86.0,92.0,8.0,Stage II,Bone Cancer
    50-59,Male,35.0,45.0,55.0,Stage IV,Bone Cancer
    50-59,Female,40.0,50.0,50.0,Stage IV,Bone Cancer
    50-59,Transgender,80.0,88.0,12.0,Stage II,Bone Cancer
    60-69,Male,25.0,35.0,65.0,Stage IV,Bone Cancer
    60-69,Female,30.0,40.0,60.0,Stage IV,Bone Cancer
    60-69,Transgender,72.0,82.0,18.0,Stage II,Bone Cancer
    70-79,Male,18.0,28.0,72.0,Stage IV,Bone Cancer
    70-79,Female,22.0,32.0,68.0,Stage IV,Bone Cancer
    70-79,Transgender,65.0,75.0,25.0,Stage III,Bone Cancer
    80+,Male,10.0,20.0,80.0,Stage IV,Bone Cancer
    80+,Female,12.0,22.0,78.0,Stage IV,Bone Cancer
    80+,Transgender,55.0,65.0,35.0,Stage III,Bone Cancer
