Age_Group,Gender,%Cure,Survival_R,Death_Rat,Stage_of_Cancer,Cancer_Type
    0-19,Male,55.0,65.0,35.0,Stage II,Breast Cancer
    0-19,Female,65.0,75.0,25.0,Stage II,Breast Cancer
    0-19,Transgender,60.0,70.0,30.0,Stage II,Breast Cancer
    20-29,Male,50.0,60.0,40.0,Stage II,Breast Cancer
    20-29,Female,60.0,70.0,30.0,Stage II,Breast Cancer
    20-29,Transgender,55.0,65.0,35.0,Stage II,Breast Cancer
    30-39,Male,45.0,55.0,45.0,Stage III,Breast Cancer
    30-39,Female,55.0,65.0,35.0,Stage III,Breast Cancer
    30-39,Transgender,50.0,60.0,40.0,Stage III,Breast Cancer
    40-49,Male,40.0,50.0,50.0,Stage III,Breast Cancer
    40-49,Female,50.0,60.0,40.0,Stage III,Breast Cancer
    40-49,Transgender,45.0,55.0,45.0,Stage III,Breast Cancer
    50-59,Male,33.0,43.0,57.0,Stage IV,Breast Cancer
    50-59,Female,43.0,53.0,47.0,Stage IV,Breast Cancer
    50-59,Transgender,38.0,48.0,52.0,Stage IV,Breast Cancer
    60-69,Male,26.0,36.0,64.0,Stage IV,Breast Cancer
    60-69,Female,36.0,46.0,54.0,Stage IV,Breast Cancer
    60-69,Transgender,30.0,40.0,60.0,Stage IV,Breast Cancer
    70-79,Male,18.0,28.0,72.0,Stage IV,Breast Cancer
    70-79,Female,28.0,38.0,62.0,Stage IV,Breast Cancer
    70-79,Transgender,20.0,30.0,70.0,Stage IV,Breast Cancer
    80+,Male,8.0,16.0,84.0,Stage IV,Breast Cancer
    80+,Female,15.0,25.0,75.0,Stage IV,Breast Cancer
    80+,Transgender,10.0,18.0,82.0,Stage IV,Breast Cancer
