Age_Group,Gender,%Cure,Survival_R,Death_Rat,Stage_of_Cancer,Cancer_Type
    0-19,Male,75.0,85.0,15.0,Stage I,Retinoblastoma
    0-19,Female,80.0,88.0,12.0,Stage I,Retinoblastoma
    0-19,Transgender,92.0,97.0,3.0,Stage I,Retinoblastoma
    20-29,Male,68.0,78.0,22.0,Stage II,Retinoblastoma
    20-29,Female,72.0,82.0,18.0,Stage II,Retinoblastoma
    20-29,Transgender,88.0,94.0,6.0,Stage I,Retinoblastoma
    30-39,Male,55.0,65.0,35.0,Stage II,Retinoblastoma
    30-39,Female,60.0,70.0,30.0,Stage II,Retinoblastoma
    30-39,Transgender,82.0,90.0,10.0,Stage I,Retinoblastoma
    40-49,Male,45.0,55.0,45.0,Stage III,Retinoblastoma
    40-49,Female,50.0,60.0,40.0,Stage III,Retinoblastoma
    40-49,Transgender,75.0,85.0,15.0,Stage II,Retinoblastoma
    50-59,Male,35.0,45.0,55.0,Stage IV,Retinoblastoma
    50-59,Female,38.0,48.0,52.0,Stage IV,Retinoblastoma
    50-59,Transgender,65.0,75.0,25.0,Stage II,Retinoblastoma
    60-69,Male,25.0,35.0,65.0,Stage IV,Retinoblastoma
    60-69,Female,28.0,38.0,62.0,Stage IV,Retinoblastoma
    60-69,Transgender,55.0,65.0,35.0,Stage III,Retinoblastoma
    70-79,Male,15.0,25.0,75.0,Stage IV,Retinoblastoma
    70-79,Female,18.0,28.0,72.0,Stage IV,Retinoblastoma
    70-79,Transgender,45.0,55.0,45.0,Stage III,Retinoblastoma
    80+,Male,8.0,15.0,85.0,Stage IV,Retinoblastoma
    80+,Female,10.0,18.0,82.0,Stage IV,Retinoblastoma
    80+,Transgender,35.0,45.0,55.0,Stage III,Retinoblastoma
